,Start,End,Sleep quality,Time in bed,Start day,Start time,End time,Drank coffee,Drank tea,Worked out,Stressful day,Ate late,Sleep cycle,Previous day time in bed
0,2014-12-29 22:57:49,2014-12-29 22:57:49,100,512,Mon,22,22,False,False,False,False,False,5,464
1,2014-12-30 21:17:50,2014-12-30 21:17:50,3,16,Tue,21,21,False,False,False,True,False,0,512
2,2014-12-30 22:42:49,2014-12-30 22:42:49,98,510,Tue,22,22,False,False,False,False,False,5,16
3,2014-12-31 22:31:01,2014-12-31 22:31:01,65,452,Wed,22,22,False,False,False,False,False,5,510
4,2015-01-01 22:12:10,2015-01-01 22:12:10,72,404,Thur,22,22,True,True,False,False,False,4,452
5,2015-01-03 00:34:57,2015-01-03 00:34:57,83,432,Sat,0,0,True,True,False,False,False,4,404
6,2015-01-04 00:23:06,2015-01-04 00:23:06,78,434,Sun,0,0,False,True,False,False,False,4,432
7,2015-01-04 21:34:44,2015-01-04 21:34:44,78,438,Sun,21,21,True,False,False,False,True,4,434
8,2015-01-05 21:32:25,2015-01-05 21:32:25,69,447,Mon,21,21,True,True,True,False,False,4,438
9,2015-01-06 21:24:56,2015-01-06 21:24:56,74,455,Tue,21,21,False,True,True,False,False,5,447
10,2015-01-07 20:59:58,2015-01-07 20:59:58,81,559,Wed,20,20,True,True,False,True,False,6,455
11,2015-01-08 22:58:18,2015-01-08 22:58:18,88,436,Thur,22,22,True,True,False,False,False,4,559
12,2015-01-09 22:27:58,2015-01-09 22:27:58,77,541,Fri,22,22,True,True,False,False,False,6,436
13,2015-01-10 22:38:24,2015-01-10 22:38:24,89,530,Sat,22,22,True,True,False,False,False,5,541
14,2015-01-11 22:12:07,2015-01-11 22:12:07,78,488,Sun,22,22,False,True,False,False,False,5,530
15,2015-01-12 21:01:46,2015-01-12 21:01:46,100,551,Mon,21,21,False,True,True,False,False,6,488
16,2015-01-13 22:14:29,2015-01-13 22:14:29,100,486,Tue,22,22,True,True,False,False,False,5,551
17,2015-01-14 21:48:26,2015-01-14 21:48:26,88,433,Wed,21,21,True,True,True,False,False,4,486
18,2015-01-15 21:32:07,2015-01-15 21:32:07,87,442,Thur,21,21,False,True,False,False,False,4,433
19,2015-01-17 02:11:57,2015-01-17 02:11:57,83,411,Sat,2,2,True,True,False,False,False,4,442
20,2015-01-17 23:55:16,2015-01-17 23:55:16,93,471,Sat,23,23,True,True,False,False,False,5,411
21,2015-01-18 21:51:53,2015-01-18 21:51:53,58,432,Sun,21,21,True,False,False,False,False,4,471
22,2015-01-19 05:06:38,2015-01-19 05:06:38,16,73,Mon,5,5,False,False,False,False,False,0,432
23,2015-01-19 21:45:19,2015-01-19 21:45:19,75,480,Mon,21,21,True,True,True,False,False,5,73
24,2015-01-20 21:42:37,2015-01-20 21:42:37,80,482,Tue,21,21,True,True,True,False,False,5,480
25,2015-01-21 22:34:35,2015-01-21 22:34:35,87,462,Wed,22,22,True,True,True,False,False,5,482
26,2015-01-25 20:55:02,2015-01-25 20:55:02,87,559,Sun,20,20,True,False,False,False,False,6,462
27,2015-01-26 22:36:21,2015-01-26 22:36:21,83,455,Mon,22,22,True,True,False,True,False,5,559
28,2015-01-28 21:43:16,2015-01-28 21:43:16,76,457,Wed,21,21,True,True,False,True,False,5,455
29,2015-01-29 22:23:40,2015-01-29 22:23:40,67,425,Thur,22,22,True,True,True,False,False,4,457
30,2015-01-31 00:13:46,2015-01-31 00:13:46,93,483,Sat,0,0,True,True,False,True,False,5,425
31,2015-02-01 21:55:59,2015-02-01 21:55:59,64,433,Sun,21,21,True,True,False,False,False,4,483
32,2015-02-02 22:30:35,2015-02-02 22:30:35,75,469,Mon,22,22,False,True,False,False,False,5,433
33,2015-02-03 22:47:33,2015-02-03 22:47:33,72,452,Tue,22,22,True,True,False,False,False,5,469
34,2015-02-04 23:03:06,2015-02-04 23:03:06,70,427,Wed,23,23,False,True,True,False,False,4,452
35,2015-02-08 22:30:34,2015-02-08 22:30:34,89,497,Sun,22,22,True,True,False,False,False,5,427
36,2015-02-09 21:55:43,2015-02-09 21:55:43,85,497,Mon,21,21,True,False,False,False,False,5,497
37,2015-02-10 22:20:46,2015-02-10 22:20:46,59,480,Tue,22,22,True,False,False,False,False,5,497
38,2015-02-11 21:53:45,2015-02-11 21:53:45,67,456,Wed,21,21,True,True,True,False,False,5,480
39,2015-02-12 22:34:54,2015-02-12 22:34:54,69,409,Thur,22,22,True,True,True,False,False,4,456
40,2015-02-15 22:16:27,2015-02-15 22:16:27,74,424,Sun,22,22,True,False,False,False,False,4,409
41,2015-02-17 00:02:30,2015-02-17 00:02:30,78,373,Tue,0,0,True,True,True,False,False,4,424
42,2015-02-17 22:20:00,2015-02-17 22:20:00,70,405,Tue,22,22,True,True,False,False,False,4,373
43,2015-02-19 22:39:45,2015-02-19 22:39:45,77,460,Thur,22,22,True,True,False,True,False,5,405
44,2015-02-21 00:31:24,2015-02-21 00:31:24,72,420,Sat,0,0,True,True,True,False,False,4,460
45,2015-02-21 22:54:00,2015-02-21 22:54:00,92,535,Sat,22,22,True,True,False,False,False,5,420
46,2015-02-22 22:18:00,2015-02-22 22:18:00,87,482,Sun,22,22,True,False,False,False,False,5,535
47,2015-02-24 22:30:11,2015-02-24 22:30:11,69,469,Tue,22,22,True,True,False,False,False,5,482
48,2015-02-26 01:22:32,2015-02-26 01:22:32,65,354,Thur,1,1,True,True,False,False,False,3,469
49,2015-02-26 21:42:32,2015-02-26 21:42:32,90,474,Thur,21,21,False,True,True,False,False,5,354
50,2015-03-01 20:14:26,2015-03-01 20:14:26,88,569,Sun,20,20,True,False,False,False,False,6,474
51,2015-03-03 21:47:16,2015-03-03 21:47:16,61,463,Tue,21,21,True,True,True,False,False,5,569
52,2015-03-04 20:53:47,2015-03-04 20:53:47,54,559,Wed,20,20,True,True,True,True,False,6,463
53,2015-03-05 22:29:33,2015-03-05 22:29:33,86,470,Thur,22,22,True,True,False,False,False,5,559
54,2015-03-08 22:54:58,2015-03-08 22:54:58,69,445,Sun,22,22,True,False,False,False,False,4,470
55,2015-03-09 21:28:08,2015-03-09 21:28:08,99,530,Mon,21,21,True,True,False,False,False,5,445
56,2015-03-10 22:17:17,2015-03-10 22:17:17,82,481,Tue,22,22,True,True,False,False,False,5,530
57,2015-03-11 21:39:44,2015-03-11 21:39:44,77,460,Wed,21,21,True,True,False,False,False,5,481
58,2015-03-12 21:44:36,2015-03-12 21:44:36,72,456,Thur,21,21,True,True,True,False,False,5,460
59,2015-03-15 21:50:56,2015-03-15 21:50:56,82,420,Sun,21,21,False,False,False,False,False,4,456
60,2015-03-16 21:48:42,2015-03-16 21:48:42,75,452,Mon,21,21,True,True,False,False,False,5,420
61,2015-03-17 23:57:46,2015-03-17 23:57:46,91,483,Tue,23,23,True,True,True,False,False,5,452
62,2015-03-21 01:10:15,2015-03-21 01:10:15,74,409,Sat,1,1,True,False,False,False,False,4,483
63,2015-03-22 23:07:46,2015-03-22 23:07:46,75,502,Sun,23,23,True,True,False,False,False,5,409
64,2015-03-24 22:11:07,2015-03-24 22:11:07,84,487,Tue,22,22,True,False,False,False,False,5,502
65,2015-03-25 22:00:06,2015-03-25 22:00:06,76,442,Wed,22,22,True,True,True,False,False,4,487
66,2015-03-26 21:23:43,2015-03-26 21:23:43,92,483,Thur,21,21,False,True,True,False,False,5,442
67,2015-03-30 22:30:48,2015-03-30 22:30:48,82,417,Mon,22,22,True,False,True,False,False,4,483
68,2015-03-31 22:17:15,2015-03-31 22:17:15,84,452,Tue,22,22,True,True,True,False,False,5,417
69,2015-04-04 23:13:30,2015-04-04 23:13:30,95,497,Sat,23,23,True,True,False,False,False,5,452
70,2015-04-06 21:22:37,2015-04-06 21:22:37,79,533,Mon,21,21,True,True,False,False,False,5,497
71,2015-04-07 21:17:36,2015-04-07 21:17:36,100,541,Tue,21,21,False,True,False,False,False,6,533
72,2015-04-08 22:09:38,2015-04-08 22:09:38,81,412,Wed,22,22,False,True,False,False,False,4,541
73,2015-04-09 21:56:08,2015-04-09 21:56:08,80,447,Thur,21,21,True,True,True,False,False,4,412
74,2015-04-10 23:51:30,2015-04-10 23:51:30,85,470,Fri,23,23,False,True,True,False,False,5,447
75,2015-04-11 23:16:56,2015-04-11 23:16:56,97,456,Sat,23,23,True,True,False,False,False,5,470
76,2015-04-12 22:04:59,2015-04-12 22:04:59,84,456,Sun,22,22,True,True,False,False,False,5,456
77,2015-04-13 22:19:39,2015-04-13 22:19:39,78,445,Mon,22,22,False,True,True,False,False,4,456
78,2015-04-15 00:28:55,2015-04-15 00:28:55,81,421,Wed,0,0,True,True,True,False,False,4,445
79,2015-04-16 23:20:50,2015-04-16 23:20:50,82,419,Thur,23,23,True,True,False,False,False,4,421
80,2015-04-17 23:50:04,2015-04-17 23:50:04,59,452,Fri,23,23,True,True,True,True,False,5,419
81,2015-04-20 22:37:59,2015-04-20 22:37:59,77,460,Mon,22,22,True,True,False,False,False,5,452
82,2015-04-22 21:31:35,2015-04-22 21:31:35,77,459,Wed,21,21,True,True,False,True,False,5,460
83,2015-04-23 21:46:46,2015-04-23 21:46:46,87,446,Thur,21,21,True,True,True,True,False,4,459
84,2015-04-25 22:53:27,2015-04-25 22:53:27,100,540,Sat,22,22,True,True,False,False,False,6,446
85,2015-04-26 21:51:16,2015-04-26 21:51:16,70,427,Sun,21,21,True,True,False,False,True,4,540
86,2015-04-27 21:35:56,2015-04-27 21:35:56,77,441,Mon,21,21,False,True,True,False,False,4,427
87,2015-04-28 21:41:45,2015-04-28 21:41:45,53,438,Tue,21,21,True,False,True,False,False,4,441
88,2015-04-30 23:13:44,2015-04-30 23:13:44,77,412,Thur,23,23,True,True,False,True,False,4,438
89,2015-05-01 22:20:45,2015-05-01 22:20:45,65,466,Fri,22,22,True,False,True,False,False,5,412
90,2015-05-05 22:23:26,2015-05-05 22:23:26,83,474,Tue,22,22,True,True,True,False,False,5,466
91,2015-05-06 21:47:25,2015-05-06 21:47:25,50,454,Wed,21,21,True,True,True,False,True,5,474
92,2015-05-07 21:22:59,2015-05-07 21:22:59,89,454,Thur,21,21,False,True,True,False,False,5,454
93,2015-05-09 01:58:47,2015-05-09 01:58:47,61,303,Sat,1,1,True,True,True,True,False,3,454
94,2015-05-10 22:11:42,2015-05-10 22:11:42,66,408,Sun,22,22,True,True,True,False,False,4,303
95,2015-05-11 21:57:02,2015-05-11 21:57:02,75,423,Mon,21,21,False,True,True,False,False,4,408
96,2015-05-12 22:04:51,2015-05-12 22:04:51,72,407,Tue,22,22,False,True,True,False,False,4,423
97,2015-05-14 22:49:01,2015-05-14 22:49:01,79,448,Thur,22,22,True,True,False,False,False,4,407
98,2015-05-17 21:03:11,2015-05-17 21:03:11,93,646,Sun,21,21,False,True,False,True,False,7,448
99,2015-05-18 22:39:06,2015-05-18 22:39:06,91,461,Mon,22,22,False,False,False,False,False,5,646
100,2015-05-20 22:22:50,2015-05-20 22:22:50,59,422,Wed,22,22,False,True,True,False,False,4,461
101,2015-05-21 22:47:04,2015-05-21 22:47:04,74,398,Thur,22,22,True,True,True,False,False,4,422
102,2015-05-24 00:01:49,2015-05-24 00:01:49,73,453,Sun,0,0,True,False,True,False,False,5,398
103,2015-05-24 22:58:17,2015-05-24 22:58:17,67,467,Sun,22,22,True,True,False,False,False,5,453
104,2015-05-25 22:05:49,2015-05-25 22:05:49,85,443,Mon,22,22,True,True,False,False,False,4,467
105,2015-05-26 22:18:17,2015-05-26 22:18:17,69,416,Tue,22,22,True,True,True,False,False,4,443
106,2015-05-28 23:10:34,2015-05-28 23:10:34,81,469,Thur,23,23,True,True,True,False,False,5,416
107,2015-05-31 23:16:56,2015-05-31 23:16:56,72,423,Sun,23,23,True,False,False,False,False,4,469
108,2015-06-01 22:20:07,2015-06-01 22:20:07,76,479,Mon,22,22,True,True,True,False,False,5,423
109,2015-06-03 22:19:31,2015-06-03 22:19:31,78,420,Wed,22,22,True,True,False,False,False,4,479
110,2015-06-04 22:20:19,2015-06-04 22:20:19,70,325,Thur,22,22,True,True,True,False,False,3,420
111,2015-06-05 03:45:52,2015-06-05 03:45:52,23,115,Fri,3,3,False,False,False,False,False,1,325
112,2015-06-07 22:01:10,2015-06-07 22:01:10,75,459,Sun,22,22,True,False,False,False,False,5,115
113,2015-06-08 21:57:12,2015-06-08 21:57:12,69,439,Mon,21,21,True,True,True,False,False,4,459
114,2015-06-09 21:07:02,2015-06-09 21:07:02,83,474,Tue,21,21,True,True,True,False,False,5,439
115,2015-06-10 21:12:48,2015-06-10 21:12:48,92,544,Wed,21,21,False,True,True,True,False,6,474
116,2015-06-11 22:54:00,2015-06-11 22:54:00,74,445,Thur,22,22,True,False,True,False,False,4,544
117,2015-06-14 22:38:25,2015-06-14 22:38:25,81,454,Sun,22,22,True,True,False,False,False,5,445
118,2015-06-15 22:31:51,2015-06-15 22:31:51,88,468,Mon,22,22,True,True,True,False,False,5,454
119,2015-06-16 22:21:15,2015-06-16 22:21:15,69,479,Tue,22,22,True,True,True,True,False,5,468
120,2015-06-17 21:28:17,2015-06-17 21:28:17,63,451,Wed,21,21,True,False,False,False,False,5,479
121,2015-06-18 22:26:07,2015-06-18 22:26:07,71,380,Thur,22,22,True,False,True,False,False,4,451
122,2015-06-22 21:54:38,2015-06-22 21:54:38,78,433,Mon,21,21,True,False,True,False,False,4,380
123,2015-06-23 22:09:26,2015-06-23 22:09:26,76,408,Tue,22,22,True,True,True,False,False,4,433
124,2015-06-24 04:58:36,2015-06-24 04:58:36,10,46,Wed,4,4,False,False,False,False,False,0,408
125,2015-06-24 22:37:23,2015-06-24 22:37:23,82,463,Wed,22,22,True,False,True,True,False,5,46
126,2015-07-11 22:29:21,2015-07-11 22:29:21,98,571,Sat,22,22,True,False,False,True,False,6,463
127,2015-07-19 21:38:23,2015-07-19 21:38:23,69,511,Sun,21,21,True,False,False,False,False,5,571
128,2015-07-20 22:01:21,2015-07-20 22:01:21,68,423,Mon,22,22,True,True,True,False,False,4,511
129,2015-07-21 22:02:34,2015-07-21 22:02:34,79,462,Tue,22,22,True,True,True,False,False,5,423
130,2015-07-23 22:29:37,2015-07-23 22:29:37,86,494,Thur,22,22,True,False,True,True,False,5,462
131,2015-07-26 22:29:51,2015-07-26 22:29:51,93,470,Sun,22,22,True,False,True,False,False,5,494
132,2015-07-28 21:32:08,2015-07-28 21:32:08,68,487,Tue,21,21,True,True,True,True,False,5,470
133,2015-07-29 23:06:06,2015-07-29 23:06:06,71,394,Wed,23,23,True,True,True,False,False,4,487
134,2015-07-30 21:40:08,2015-07-30 21:40:08,88,480,Thur,21,21,True,False,True,False,False,5,394
135,2015-08-01 01:41:20,2015-08-01 01:41:20,77,409,Sat,1,1,True,True,True,False,False,4,480
136,2015-08-01 22:55:10,2015-08-01 22:55:10,97,546,Sat,22,22,True,False,True,False,False,6,409
137,2015-08-02 23:45:43,2015-08-02 23:45:43,3,15,Sun,23,23,True,False,True,False,False,0,546
138,2015-08-03 00:26:02,2015-08-03 00:26:02,88,419,Mon,0,0,True,False,True,False,False,4,15
139,2015-08-03 21:46:15,2015-08-03 21:46:15,71,434,Mon,21,21,True,False,True,True,False,4,419
140,2015-08-04 21:17:10,2015-08-04 21:17:10,81,458,Tue,21,21,True,True,True,False,False,5,434
141,2015-08-05 21:35:13,2015-08-05 21:35:13,78,439,Wed,21,21,True,True,True,False,False,4,458
142,2015-08-08 00:19:09,2015-08-08 00:19:09,97,457,Sat,0,0,True,False,True,False,False,5,439
143,2015-08-10 00:01:12,2015-08-10 00:01:12,65,302,Mon,0,0,True,False,False,False,False,3,457
144,2015-08-10 21:11:19,2015-08-10 21:11:19,72,538,Mon,21,21,True,True,True,False,False,5,302
145,2015-08-15 23:41:21,2015-08-15 23:41:21,84,466,Sat,23,23,True,False,False,False,False,5,538
146,2015-08-16 21:44:20,2015-08-16 21:44:20,58,420,Sun,21,21,True,False,False,False,False,4,466
147,2015-08-17 22:13:05,2015-08-17 22:13:05,85,434,Mon,22,22,True,True,True,False,False,4,420
148,2015-08-18 22:33:21,2015-08-18 22:33:21,90,492,Tue,22,22,True,True,True,False,False,5,434
149,2015-08-19 21:48:50,2015-08-19 21:48:50,79,492,Wed,21,21,True,False,True,False,False,5,492
150,2015-08-20 22:36:23,2015-08-20 22:36:23,69,443,Thur,22,22,True,False,False,False,False,4,492
151,2015-08-21 21:52:41,2015-08-21 21:52:41,88,487,Fri,21,21,True,False,False,True,False,5,443
152,2015-08-22 21:59:47,2015-08-22 21:59:47,90,469,Sat,21,21,True,False,False,False,False,5,487
153,2015-08-23 21:59:05,2015-08-23 21:59:05,83,450,Sun,21,21,True,True,False,False,True,5,469
154,2015-08-25 21:57:25,2015-08-25 21:57:25,67,468,Tue,21,21,True,False,False,False,False,5,450
155,2015-08-26 21:14:31,2015-08-26 21:14:31,90,510,Wed,21,21,True,False,False,True,False,5,468
156,2015-08-27 21:19:00,2015-08-27 21:19:00,93,506,Thur,21,21,False,False,False,False,False,5,510
157,2015-08-28 22:01:03,2015-08-28 22:01:03,85,479,Fri,22,22,True,True,False,False,False,5,506
158,2015-08-30 22:00:05,2015-08-30 22:00:05,84,480,Sun,22,22,True,False,False,False,False,5,479
159,2015-08-31 22:14:35,2015-08-31 22:14:35,77,466,Mon,22,22,True,False,False,False,False,5,480
160,2015-09-01 22:00:12,2015-09-01 22:00:12,85,479,Tue,22,22,False,True,False,False,False,5,466
161,2015-09-02 23:36:43,2015-09-02 23:36:43,77,453,Wed,23,23,True,False,False,False,False,5,479
162,2015-09-05 22:54:41,2015-09-05 22:54:41,87,484,Sat,22,22,True,False,False,False,False,5,453
163,2015-09-07 22:45:57,2015-09-07 22:45:57,84,447,Mon,22,22,True,True,False,False,False,4,484
164,2015-09-08 22:03:28,2015-09-08 22:03:28,86,481,Tue,22,22,False,True,True,False,False,5,447
165,2015-09-09 22:40:40,2015-09-09 22:40:40,83,449,Wed,22,22,True,True,True,False,False,4,481
166,2015-09-10 22:10:47,2015-09-10 22:10:47,77,406,Thur,22,22,True,True,True,False,False,4,449
167,2015-09-12 00:06:20,2015-09-12 00:06:20,81,455,Sat,0,0,True,False,True,False,False,5,406
168,2015-09-13 22:03:28,2015-09-13 22:03:28,81,467,Sun,22,22,True,False,False,False,False,5,455
169,2015-09-14 22:33:49,2015-09-14 22:33:49,83,476,Mon,22,22,True,False,True,True,False,5,467
170,2015-09-15 22:14:42,2015-09-15 22:14:42,70,460,Tue,22,22,True,False,True,False,False,5,476
171,2015-09-16 21:59:14,2015-09-16 21:59:14,80,500,Wed,21,21,True,True,True,False,False,5,460
172,2015-09-17 22:57:35,2015-09-17 22:57:35,60,442,Thur,22,22,True,True,True,False,False,4,500
173,2015-09-19 00:31:33,2015-09-19 00:31:33,55,383,Sat,0,0,True,False,False,False,False,4,442
174,2015-09-19 22:01:37,2015-09-19 22:01:37,91,527,Sat,22,22,True,False,False,False,False,5,383
175,2015-09-20 22:07:26,2015-09-20 22:07:26,79,488,Sun,22,22,True,True,True,False,False,5,527
176,2015-09-22 21:34:08,2015-09-22 21:34:08,81,521,Tue,21,21,True,True,True,False,False,5,488
177,2015-09-23 21:37:35,2015-09-23 21:37:35,77,449,Wed,21,21,True,True,True,False,False,4,521
178,2015-09-24 22:37:41,2015-09-24 22:37:41,83,442,Thur,22,22,True,True,True,False,True,4,449
179,2015-09-27 22:57:29,2015-09-27 22:57:29,82,482,Sun,22,22,False,True,False,False,False,5,442
180,2015-09-28 21:12:50,2015-09-28 21:12:50,90,482,Mon,21,21,False,True,True,False,False,5,482
181,2015-09-29 22:54:50,2015-09-29 22:54:50,89,445,Tue,22,22,True,True,True,False,True,4,482
182,2015-09-30 23:57:47,2015-09-30 23:57:47,62,376,Wed,23,23,True,True,True,False,False,4,445
183,2015-10-03 00:09:08,2015-10-03 00:09:08,69,437,Sat,0,0,True,False,True,False,False,4,376
184,2015-10-11 00:27:25,2015-10-11 00:27:25,100,511,Sun,0,0,True,False,False,True,False,5,437
185,2015-10-12 21:59:10,2015-10-12 21:59:10,74,481,Mon,21,21,True,True,True,False,True,5,511
186,2015-10-13 22:19:10,2015-10-13 22:19:10,59,400,Tue,22,22,True,False,True,False,False,4,481
187,2015-10-14 05:00:29,2015-10-14 05:00:29,13,60,Wed,5,5,False,False,False,False,False,0,400
188,2015-10-14 22:40:34,2015-10-14 22:40:34,68,460,Wed,22,22,False,True,True,False,False,5,60
189,2015-10-15 22:12:48,2015-10-15 22:12:48,67,488,Thur,22,22,True,True,True,False,False,5,460
190,2015-10-17 00:45:53,2015-10-17 00:45:53,57,411,Sat,0,0,True,True,False,False,False,4,488
191,2015-10-18 21:52:46,2015-10-18 21:52:46,67,507,Sun,21,21,True,False,False,False,False,5,411
192,2015-10-20 21:38:02,2015-10-20 21:38:02,88,522,Tue,21,21,True,True,False,False,False,5,507
193,2015-10-21 22:41:23,2015-10-21 22:41:23,77,459,Wed,22,22,True,True,False,False,False,5,522
194,2015-10-22 21:46:35,2015-10-22 21:46:35,80,464,Thur,21,21,True,True,True,False,False,5,459
195,2015-10-24 00:32:20,2015-10-24 00:32:20,77,460,Sat,0,0,True,True,True,False,False,5,464
196,2015-10-24 22:38:13,2015-10-24 22:38:13,81,475,Sat,22,22,True,True,False,False,False,5,460
197,2015-10-26 23:09:15,2015-10-26 23:09:15,77,415,Mon,23,23,True,True,False,False,False,4,475
198,2015-10-27 21:34:17,2015-10-27 21:34:17,78,481,Tue,21,21,True,False,True,False,False,5,415
199,2015-10-28 22:28:47,2015-10-28 22:28:47,83,471,Wed,22,22,False,True,True,False,False,5,481
200,2015-10-29 22:30:45,2015-10-29 22:30:45,81,460,Thur,22,22,False,True,True,False,False,5,471
201,2015-10-31 01:01:48,2015-10-31 01:01:48,50,408,Sat,1,1,True,True,False,False,False,4,460
202,2015-11-02 22:00:53,2015-11-02 22:00:53,83,489,Mon,22,22,True,True,True,False,False,5,408
203,2015-11-03 22:46:00,2015-11-03 22:46:00,75,443,Tue,22,22,True,True,True,False,False,4,489
204,2015-11-04 22:49:17,2015-11-04 22:49:17,65,431,Wed,22,22,True,True,True,False,False,4,443
205,2015-11-05 21:36:52,2015-11-05 21:36:52,77,472,Thur,21,21,True,True,True,False,False,5,431
206,2015-11-07 00:19:42,2015-11-07 00:19:42,93,474,Sat,0,0,True,True,True,False,False,5,472
207,2015-11-08 23:28:38,2015-11-08 23:28:38,69,412,Sun,23,23,True,True,False,False,False,4,474
208,2015-11-09 21:59:54,2015-11-09 21:59:54,88,461,Mon,21,21,True,True,True,False,False,5,412
209,2015-11-10 22:56:22,2015-11-10 22:56:22,83,452,Tue,22,22,True,True,True,False,False,5,461
210,2015-11-11 22:57:35,2015-11-11 22:57:35,72,443,Wed,22,22,True,True,False,False,False,4,452
211,2015-11-13 22:59:58,2015-11-13 22:59:58,96,526,Fri,22,22,True,True,False,False,False,5,443
212,2015-11-15 22:17:12,2015-11-15 22:17:12,72,493,Sun,22,22,True,True,False,False,False,5,526
213,2015-11-18 22:07:28,2015-11-18 22:07:28,80,443,Wed,22,22,True,True,True,False,True,4,493
214,2015-11-19 23:10:23,2015-11-19 23:10:23,73,410,Thur,23,23,True,True,True,False,False,4,443
215,2015-11-22 21:57:39,2015-11-22 21:57:39,83,453,Sun,21,21,False,True,False,False,False,5,410
216,2015-11-23 22:15:24,2015-11-23 22:15:24,74,404,Mon,22,22,True,True,True,False,False,4,453
217,2015-11-24 22:33:40,2015-11-24 22:33:40,87,477,Tue,22,22,True,True,True,False,False,5,404
218,2015-11-25 23:26:02,2015-11-25 23:26:02,69,414,Wed,23,23,True,True,True,False,False,4,477
219,2015-11-26 22:25:29,2015-11-26 22:25:29,81,475,Thur,22,22,True,True,True,False,False,5,414
220,2015-11-28 01:20:50,2015-11-28 01:20:50,58,385,Sat,1,1,True,True,True,False,False,4,475
221,2015-11-29 22:20:20,2015-11-29 22:20:20,68,479,Sun,22,22,False,True,False,False,False,5,385
